                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75143,                 1.0408,                 1.0037,                0.99225,                      1,                  0.995,                0.79983,                0.68563,                 1.2985,                0.88389,               0.001307,               0.001307,               0.001307
                     37,                0.75947,                 1.1022,                 1.0061,                0.99241,                      1,                  0.995,                0.85411,                0.59324,                 1.1911,                 0.8312,              0.0012872,              0.0012872,              0.0012872
                     38,                0.81464,                 1.0582,                 1.0187,                0.99263,                      1,                  0.995,                0.79344,                0.70714,                 1.1275,                0.84322,              0.0012674,              0.0012674,              0.0012674
                     39,                0.72442,                0.94219,                0.99133,                0.99263,                      1,                  0.995,                0.79344,                0.70714,                 1.1275,                0.84322,              0.0012476,              0.0012476,              0.0012476
                     40,                0.73159,                0.91275,                0.94631,                0.99467,                      1,                  0.995,                0.84928,                0.72933,                 1.1306,                0.83177,              0.0012278,              0.0012278,              0.0012278
                     41,                0.77154,                0.87991,                 1.0598,                      1,                0.99019,                  0.995,                0.85781,                 0.6896,                 1.2266,                 0.8403,               0.001208,               0.001208,               0.001208
                     42,                0.63852,                0.86791,                0.94142,                0.99771,                    0.9,                0.97833,                0.81243,                0.80849,                 1.2729,                0.85683,              0.0011882,              0.0011882,              0.0011882
                     43,                0.72456,                0.91952,                 1.0344,                0.99414,                    0.8,                0.94825,                 0.7743,                0.85993,                 1.2921,                0.84651,              0.0011684,              0.0011684,              0.0011684
                     44,                0.68393,                0.93434,                0.95024,                0.99192,                    0.9,                0.98591,                0.75259,                0.83205,                 1.2786,                0.84169,              0.0011486,              0.0011486,              0.0011486
                     45,                0.71435,                0.86321,                 1.0191,                0.99192,                    0.9,                0.98591,                0.75259,                0.83205,                 1.2786,                0.84169,              0.0011288,              0.0011288,              0.0011288
